Code	Scientific	Common	Reverse
6350	'Uria lomvia'	'Thick-billed murre'	'Uria lomvia'
6359	'Uria sp.'	'Thick-billed murre'	'Uria'
6360	'Alca torda'	'Razorbill'	'Alca torda'
6370	'Pinguinus impennis'	'Great auk'	'Pinguinus impennis'
6380	'Cepphus grylle'	'Black guillemot'	'Cepphus grylle'
6390	'Cepphus columba'	'Pigeon Guillemot'	'Cepphus columba'
6400	'Cepphus carbo'	'Spectacled guillemot'	'Cepphus carbo'
6409	'Cepphus spp.'	'ウミバト属'	'Cepphus'
6410	'Brachyramphus marmoratus'	'Marbled Murrelet'	'Brachyramphus marmoratus'
6411	'Brachyramphus marmoratus marmoratus'	'NA'	'Brachyramphus marmoratus maroratum'
6412	'Brachyramphus marmoratus perdix'	'Marbled Murrelet'	'Brachyramphus marmoratus'
6420	'Brachyramphus brevirostris'	'Kittlitz\'s Murrelet'	'Brachyramphus brevirostris'
6429	'Brachyramphus sp.'	'Marbled Murrelet'	'Brachyramphus'
6430	'Endomychura hypoleuca'	'NA'	'Endomychura hypoleuca'
6440	'Endomychura craveri'	'NA'	'Endomychura craveri'
6450	'Synthliboramphus antiquus'	'Ancient Murrelet'	'Synthliboramphus antiquus'
6460	'Synthliboramphus wumizusume'	'Japanese Murrelet'	'Synthliboramphus wumizusume'
6470	'Alle alle'	'Dovekie'	'Alle alle'
6480	'Ptychoramphus aleuticus'	'Cassin\'s Auklet'	'Ptychoramphus aleuticus'
6490	'Aethia cristatella'	'Crested auklet'	'Aethia cristatella'
6500	'Aethia pygmaea'	'Whiskered Auklet'	'Aethia pygmaea'
6510	'Aethia pusilla'	'Least Auklet'	'Aethia pusilla'
6520	'Cyclorrhynchus psittacula'	'NA'	'Cyclorrhynchus psittacula'
6530	'Cerorhinca monocerata'	'Rhinoceros auklet'	'Cerorhinca monocerata'
6540	'Fratercula arctica'	'Atlantic Puffin'	'Fratercula arctica'
6550	'Fratercula corniculata'	'Horned Puffin'	'Fratercula corniculata'
6560	'Lunda cirrhata'	'NA'	'Lunda cirrhata'
6570	'Pterocles lichtensteinii'	'Lichtenstein\'s Sandgrouse'	'Pterocles lichtensteinii'
6580	'Pterocles coronatus'	'Crowned sandgrouse'	'Pterocles coronatus'
6590	'Pterocles senegallus'	'Ganga tacheté'	'Pterocles senegallus'
6600	'Pterocles exustus'	'Chestnut-bellied Sandgrouse'	'Pterocles exustus'
6610	'Pterocles orientalis'	'Black-bellied sandgrouse'	'Pterocles orientalis'
6620	'Pterocles alchata'	'Pin-tailed sandgrouse'	'Pterocles alchata'
6630	'Syrrhaptes paradoxus'	'Pallas\'s sandgrouse'	'Syrrhaptes paradoxus'
6640	'Syrrhaptes tibetanus'	'Tibetan Sandgrouse'	'Syrrhaptes tibetanus'
6650	'Columba livia'	'Domestic pigeon'	'Columba livia'
6651	'Columba livia livia'	'Pombo-das-rochas'	'Columba livia livia'
6652	'Columba livia gaddi'	'NA'	'Columba livia gaddi'
