"Code" "Name" "Rev" "Common"
"11300" "Hodgsonius phoenicuroides" "Hodgsonius phoenicuroides" "NA"
"11310" "Grandala coelicolor" "Grandala coelicolor" "Grandala"
"11320" "Sialia currucoides" "Sialia currucoides" "Mountain Bluebird"
"11330" "Sialia mexicana" "Sialia mexicana" "Western Bluebird"
"11340" "Sialia sialis" "Sialia sialis" "Eastern Bluebird"
"11350" "Cercomela melanura" "Cercomela melanura" "Blackstart"
"11360" "Saxicola macrorhyncha" "Saxicola macrorhyncha" "NA"
"11370" "Saxicola rubetra" "Saxicola rubetra" "Whinchat"
"11380" "Saxicola dacotiae" "Saxicola dacotiae" "Canary Islands chat"
"11390" "Saxicola torquata" "Saxicola torquata" "NA"
"11391" "Saxicola torquata torquata" "Saxicola torquatus torquatus" "NA"
"11392" "Saxicola torquata stejnegeri" "Saxicola torquatus stejnegeri" "NA"
"11393" "Saxicola torquata rubicola" "Saxicola torquata rubicola" "NA"
"11394" "Saxicola torquata maura" "Saxicola torquata maura" "NA"
"11395" "Saxicola torquata hibernans" "Saxicola torquatus hibernans" "NA"
"11396" "Saxicola (torquata/maurus) variegatus" "Saxicola" "Felseneidechse"
"11400" "Saxicola insignis" "Saxicola insignis" "White-throated Bush Chat"
"11410" "Saxicola caprata" "Saxicola caprata" "Pied bushchat"
"11420" "Saxicola ferrea" "Saxicola ferrea" "NA"
"11429" "Saxicola sp." "Saxicola" "Felseneidechse"
"11430" "Myrmecocichla aethiops" "Myrmecocichla aethiops" "Northern Anteater-Chat"
"11440" "Oenanthe isabellina" "Oenanthe isabellina" "Isabelline Wheatear"
"11450" "Oenanthe bottae" "Oenanthe bottae" "Red-Breasted Wheatear"
"11460" "Oenanthe oenanthe" "Oenanthe oenanthe" "Northern wheatear"
"11461" "Oenanthe oenanthe oenanthe" "Oenanthe oenanthe oenanthe" "NA"
"11462" "Oenanthe oenanthe leucorhoa" "Oenanthe oenanthe leucorhoa" "NA"
"11463" "Oenanthe oenanthe seebohmi" "Oenanthe oenanthe seebohmi" "NA"
"11470" "Oenanthe pleschanka" "Oenanthe pleschanka" "Pied wheatear"
"11480" "Oenanthe hispanica" "Oenanthe hispanica" "Western black-eared wheatear"
"11481" "Oenanthe hispanica hispanica" "Oenanthe hispanica hispanica" "NA"
"11482" "Oenanthe hispanica melanoleuca" "Oenanthe hispanica melanoleuca" "NA"
"11490" "Oenanthe deserti" "Oenanthe deserti" "Desert Wheatear"
"11500" "Oenanthe finschii" "Oenanthe finschii" "Felsensteinschmätzer"
"11510" "Oenanthe moesta" "Oenanthe moesta" "Fahlbürzel-Steinschmätzer"
"11520" "Oenanthe xanthoprymna" "Oenanthe xanthoprymna" "Red-tailed Wheatear"
"11521" "Oenanthe chrysopygia" "Oenanthe chrysopygia" "Red-tailed Wheatear"
"11530" "Oenanthe picata" "Oenanthe picata" "Variable wheatear"
"11540" "Oenanthe lugens" "Oenanthe lugens" "Mourning Wheatear"
"11550" "Oenanthe monacha" "Oenanthe monacha" "Hooded Wheatear"
"11560" "Oenanthe alboniger" "Oenanthe alboniger" "NA"
"11570" "Oenanthe leucopyga" "Oenanthe leucopyga" "Saharasteinschmätzer"
"11580" "Oenanthe leucura" "Oenanthe leucura" "Black wheatear"
"11589" "Oenanthe sp." "Oenanthe" "Dodemansvingers"
"11590" "Chaimarrornis leucocephalus" "Chaimarrornis leucocephalus" "white-capped water redstart"
"11600" "Saxicoloides fulicata" "Saxicoloides fulicata" "NA"
"11610" "Monticola rufocinerea" "Monticola rufocinereus" "Little Rock-Thrush"
"11620" "Monticola saxatilis" "Monticola saxatilis" "Rock Thrush"
"11630" "Monticola cinclorhyncha" "Monticola cinclorhynchus" "Blue-capped rock-thrush"
"11640" "Monticola gularis" "Monticola gularis" "White-throated Rock Thrush"
"11650" "Monticola rufiventris" "Monticola rufiventris" "Chestnut-bellied rock-thrush"
"11660" "Monticola solitarius" "Monticola solitarius" "Blue rock thrush"
"11670" "Myiophoneus caeruleus" "Myiophonus caeruleus" "Blue whistling-thrush"
"11680" "Zoothera mollissima" "Zoothera mollissima" "Plain-backed Thrush"
"11690" "Zoothera dixoni" "Zoothera dixoni" "Long-tailed Thrush"
"11700" "Zoothera dauma" "Zoothera dauma" "Scaly Thrush"
"11710" "Zoothera sibirica" "Zoothera sibirica" "Siberian thrush"
"11720" "Zoothera naevia" "Zoothera naevia" "NA"
"11730" "Zoothera pinicola" "Zoothera pinicola" "NA"
"11740" "Cichlopasser terrestris" "Cichlopasser" "NA"
"11750" "Hylocichla mustelina" "Hylocichla mustelina" "Wood thrush"
"11760" "Catharus guttatus" "Catharus guttatus" "Hermit thrush"
"11770" "Catharus ustulatus" "Catharus ustulatus" "Swainson's thrush"
"11780" "Catharus minimus" "Catharus minimus" "Gray-cheeked Thrush"
"11781" "Catharus minimus minimus" "Catharus minimus minimus" "NA"
"11782" "Catharus minimus bicknelli" "Catharus minimus bicknelli" "NA"
"11790" "Catharus fuscescens" "Catharus fuscescens" "Veery"
"11800" "Catharus aurantiirostris" "Catharus aurantiirostris" "Inglesito, jilguerito, zorzal piquianaranjado"
"11810" "Catharus occidentalis" "Catharus occidentalis" "Russet Nightingale-Thrush"
"11820" "Turdus menachensis" "Turdus menachensis" "Yemen Thrush"
"11830" "Turdus unicolor" "Turdus unicolor" "Tickell's Thrush"
"11840" "Turdus cardis" "Turdus cardis" "Japanese Thrush"
"11850" "Turdus albocinctus" "Turdus albocinctus" "White-collared Blackbird"
"11860" "Turdus torquatus" "Turdus torquatus" "Ring ouzel"
"11861" "Turdus torquatus torquatus" "Turdus torquatus torquatus" "NA"
"11862" "Turdus torquatus alpestris" "Turdus torquatus alpestris" "NA"
"11870" "Turdus merula" "Turdus merula" "Common blackbird"
"11871" "Turdus merula merula" "Turdus merula merula" "NA"
"11872" "Turdus merula cabrerae" "Turdus merula cabrerae" "NA"
"11880" "Turdus rubrocanus" "Turdus rubrocanus" "Chestnut Thrush"
"11890" "Turdus kessleri" "Turdus kessleri" "Kessler's Thrush"
"11900" "Turdus chrysolaus" "Turdus chrysolaus" "Brown-headed Thrush"
"11910" "Turdus celaenops" "Turdus celaenops" "Izu Thrush"
"11920" "Turdus feae" "Turdus feae" "Grey-sided Thrush"
"11930" "Turdus hortulorum" "Turdus hortulorum" "Grey-backed Thrush"
"11940" "Turdus pallidus" "Turdus pallidus" "Pale thrush"
"11950" "Turdus obscurus" "Turdus obscurus" "Eyebrowed thrush"
"11960" "Turdus naumanni" "Turdus naumanni" "Naumann's thrush"
"11961" "Turdus naumanni naumanni" "Turdus naumanni naumanni" "NA"
"11962" "Turdus naumanni eunomus" "Turdus naumanni eunomus" "NA"
"11970" "Turdus ruficollis" "Turdus ruficollis" "Red-throated thrush"
"11971" "Turdus ruficollis ruficollis" "Turdus ruficollis ruficollis" "NA"
"11972" "Turdus ruficollis atrogularis" "Turdus ruficollis atrogularis" "NA"
"11980" "Turdus pilaris" "Turdus pilaris" "Fieldfare"
"11990" "Turdus mupinensis" "Turdus mupinensis" "Chinese Thrush"
"12000" "Turdus philomelos" "Turdus philomelos" "Song thrush"
"12001" "Turdus philomelos philomelos" "Turdus philomelos philomelos" "NA"
"12002" "Turdus philomelos clarkei" "Turdus philomelos clarkei" "NA"
"12010" "Turdus iliacus" "Turdus iliacus" "Birch"
"12011" "Turdus iliacus iliacus" "Turdus iliacus iliacus" "NA"
"12012" "Turdus iliacus coburni" "Turdus iliacus coburni" "NA"
"12020" "Turdus viscivorus" "Turdus viscivorus" "Mistle thrush"
"12030" "Turdus migratorius" "Turdus migratorius" "American Robin"
"12040" "Turdus rufopalliatus" "Turdus rufopalliatus" "Rufous-backed Robin"
"12050" "Turdus grayi" "Turdus grayi" "Clay-colored Thrush"
"12060" "Turdus albicollis" "Turdus albicollis" "White-necked Thrush"
"12069" "Turdus sp." "Turdus" "Amergu (tawsit)"
"12070" "Mimocichla plumbea" "Mimocichla" "NA"
