'IDENT1'	'SYSTEM1'	'IDENT2_NOPREFIX'	'Level'	'LAT_NAME'	'EN_NAME'	'DESC_LINK'	'BODY_LENGTH[cm]'	'WING_SPAN[cm]'						'GROUP_KEY_1'	'GROUP_KEY_2'	'GROUP_KEY_3'	'valid_authority'	'LOC_KEY'	'REST_LINK'	'MIG_LINK'	'FOTO_LINK'	'AERIAL_LINK'	'SCHEMA_LINK'	'MES_LINK'	'STS_LAW'
'E_1680'	'EURING'	'1680'	'S'	'Branta bernicla'	'Brent Goose'	'https://avibase.ca/8C09000A '	'56-61'	'110-120'						'Waterbird'	'Goose'	'known'									
'E_1690'	'EURING'	'1690'	'S'	'Branta ruficollis'	'Red-breasted Goose'	'https://avibase.ca/0D280B3F '	54	126						'Waterbird'	'Goose'	'known'									
'E_1700'	'EURING'	'1700'	'S'	'Alopochen aegyptiaca'	'Egyptian Goose'	'https://avibase.ca/DA2F24E3 '	'63-73'	'110-130'						'Waterbird'	'Goose'	'known'									
'CU_1701'	'Custom'	'1701'	'S'	'Anser canagicus'	'Emperor Goose '	'https://avibase.ca/1E6F0F8D '	68.5	119						'Waterbird'	'Goose'	'known'									
'CU_1709'	'Custom'	'1709'	'UI'	'Anser/Branta sp.'	'unidentified goose'									'Waterbird'	'Goose'	'unknown'									
'E_1710'	'EURING'	'1710'	'S'	'Tadorna ferruginea'	'Ruddy Shelduck'	'https://avibase.ca/1F9D883E '	64	133						'Waterbird'	'Duck'	'known'									
'E_1730'	'EURING'	'1730'	'S'	'Tadorna tadorna'	'Common Shelduck'	'https://avibase.ca/5EAB32D3 '	'58-65'	'110-133'						'Waterbird'	'Duck'	'known'									
'E_1790'	'EURING'	'1790'	'S'	'Anas penelope'	'Eurasian Wigeon'	'https://avibase.ca/15EE0D36 '	'45-51'	'75-86'						'Waterbird'	'Duck'	'known'									
'E_1800'	'EURING'	'1800'	'S'	'Anas americana'	'American Wigeon'	'https://avibase.ca/D201EB72 '	'45-58'	86.4						'Waterbird'	'Duck'	'known'									
'CU_1801'	'Custom'	'1801'	'S'	'Anas sibilatrix'	'Chiloe Wigeon'	'https://avibase.ca/0B8AF41F '								'Waterbird'	'Duck'	'known'									
